tl,en
Wishing the best of health & abundance of god's blessings to the true Karamyogi who's efforts have not only truly unified India but are also taking #NewIndia to heights of prosperity & growth!#HappyBdayPMModi,Wishing THE BEST OF HEALTH & ABUNDANCE OF GOD'S BLESSINGS TO THE TRUE KARAMYOGI WHO'RE EFFORTS HAVE NOT ONLY TRULY UNIFIED INDIA BUT ARE ALSO TAKING #Newdia to Heights of Prosperity & Growth! #Happybdaypmmodi
"Ayon kay Captain Norman Tagros, tagapagsalita ng 403 Infantry Brigade, ang 15 na sakong bigas na nakasilid sa 45 plastic containers ay mula sa pangingikil ng NPA sa mga mahihirap na magsasaka sa lugar.","According to Captain Norman Tagros, spokesperson of 403 Infantry Brigade, 15th rice heel beamed in 45 plastic containers is from the NPA extinction to poor peasants in the area."
"Mismong si Department of Justice (DoJ) Spokesperson Emmanuel Caparas ang nagsabing may sindikato nga ng ""tanim bala"" sa airport.","Spoken Department of Justice (Doj) Spokesperson Emmanuel Caparas said that there was a syndicate of ""bullet"" at the airport."
"Ayon sa Quezon Police, si Nieves na dating residente ng San Lorenzo, Guinayangan, Quezon ay wanted sa two counts of rape dahil sa panghahalay nito sa isang dalagang lumpo at hindi nakakabangon noong November 1997 sa kanilang barangay.","According to Quezon Police, Nieves who were former residents of San Lorenzo, Guinayangan, Quezon was wanted in TWO COUNTS OF RAPE because of its assault on a crippled girl and did not get up in November 1997 in their barangay."
Sinabi ni Noynoy na sinimulan na ang chemotherapy sa kanyang ina at oobserbahan ang epekto nito sa katawan ni Gng Aquino sa loob ng dalawang linggo.,Noynoy said that chemotherapy had begun his mother and observed its effect on Mrs. Aquino's body for two weeks.
"Kinilala ang nasawing BIFF official na si Ibrahim Ali alyas Kumander Ibs, na sinasabing bomb-maker at trainer ng BIFF.","Recognized the Biff Official Ibrahim Ali Alias ??????????Kumander Ibs, claiming bomb-maker and BIFF trainer."
"NAGBALIK mula sa isang araw na pahinga si 7-foot-2 center Hamed Haddadi para tulungan ang Iran na biguin ang Gilas Pilipinas, 74-65, sa 37th William Jones Cup sa Xinchuang Gymnasium sa Taipei, Taiwan kahapon.","The 7-foot-2 center Hamed Haddadi returned from one day to help Iran to frustrate the Gilas Philippines, 74-65, at the 37th William Jones Cup at Xinchuang Gymnasium in Taipei, Taiwan yesterday."
"Sa ulat ng National Statistics Office, sinabing umaabot na sa 88,566,732 ang bilang ng mga Pinoy sa isinagawang census noong Agosto 2007. Ang naturang bilang ay lumobo ng 12,062,655 Pinoy kumpara sa census na ginawa noong May 2000, kunsaan 76,504,077 ang lumitaw na bilang ng mga Pinoy.","In the report of the National Statistics Office, said that at 88,566,732 was the number of Pinoys in the Census in August 2007. Such a number was grown 12,062,655 Pinoy compared to the census made in May 2000, kiss 76,504,077 emerged as of the Filipinos ."
Sinasabing aksidenteng nahulog si Licup sa talon at tinangay ng malakas na agos ng tubig.,Licup said accidentally fell to the waterfall and swept out a heavy water.
"Nagkasundo ang Pilipinas at Japan na higit pang paigtingin ang pagtutulungan sa iba't ibang larangan gaya ng ekonomiya, social security, infrastructure development, depensa at seguridad at paglaban sa terorismo.","The Philippines and Japan agree to further intensify cooperation in various fields such as economy, social security, infrastructure development, defense and security and resistance to terrorism."
"Binalaan ng Kalihim ang publiko na maaari silang maputulan ng bahagi ng katawan, mabulag o 'di kaya'y mamatay kapag tinamaan ng paputok.","The Secretary warned the public that they could be defeated by the body part, blind or would die when hit by a firecracker."
Ang epicenter ng lindol ay 36 kilometro sa silangan ng Basco. May lalim itong 156 kilometro at sanhi ng paggalaw ng tectonic plate sa lugar.,The epicenter of the earthquake is 36 kilometers east of Basco. It has a depth of 156 kilometers and causes the movement of the tectonic plate in the area.
"Kasunod nito ay inanunsiyo ng binansagang ""Omaha Oracle"" ang kampanyang ""Drive 2 Vote,"" para ihatid sa polling stations ang mga botante sa second congressional district ng Nebraska, na nagbibigay ng single Electoral College vote sa district winner.","Subsequently the named ""Omaha Oracle"" announced the ""Drive 2 Vote"" campaign, to deliver the voters in the second congressional district of Nebraska, giving a single Electoral College Vote to the District Winner."
"Nauna rito, nakatanggap ng impormasyon ang Army na may mga armado sa nasabing lugar at karatig na barangay na nangingikil umano ng mga pagkain at pera sa mga maralita.","Earlier, the Army received information with armed with the said area and nearby barangay of foods and money to the poor."
Itutuon din ang isasagawang imbestigasyon sa paraan ng pagkuha ng permiso ng mga manufacturer ng paputok sa firearms and explosive unit ng Philippine National Police.,The investigation is also focused on the way of getting the permission of firecracker manufacturers at the Firearms and Explosive Unit of the Philippine National Police.
"""The conflicting theories of experts on the efficacy of the dengue vaccine and the lingering uncertainty about its long term safety had caused some degree of apprehension among various sectors,"" ayon sa draft committee report.","""The Conflicting Theories of Experts On The Efficacy Of The Dengue Vaccine And The Lingering Uncertainty About Its Long Term Safety Had Caused Some Degree of Apprehension Among Various Sectors,"" According to the Draft Committee Report."
"Ayon pa sa Pangulo, hihilingin niya sa Commission on Elections na personal siyang i-deputize upang matiyak na mabibilang nang tama ang mga boto.","According to the President, he will ask the Commission on elections he personally deputize to make sure the votes will be counted correctly."
Dagdag niya na kahit tumanggap ng mga kickback ang mga mambabatas ay may mga natapos namang proyekto.,He added that even if the kickbacks received legislators have completed projects.
"Inig mata nimo sa buntag, usa sa mga talagsaong kasinatian dinhi nga dili nimo angayng palampasun mao ang paghangop sa gabon sa kabukiran.","Nimo's eyes are in the puddle, USA in the sophisticated sophisticated Danish Danish."
"Dahil sa banta ng terorismo, nanawagan sina QC Mayor Sonny Belmonte at Vice-Mayor Herbert Bautista sa Central Police District (CPD) na i-alerto ang lahat ng tauhan nito matapos makatanggap ng banta mula sa Abu Sayyaf Group na maghihiganti dahil sa nangyari sa kanilang mga kasama sa Taguig hostage crisis.","Due to the threat of terrorism, QC Mayor Sonny Belmonte and Vice-Mayor Herbert Bautista at the Central Police District (CPD) to alert all its personnel after receiving a threat from the Abu Sayyaf Group to take vengeance due to their Taguig hostage crisis."
"Pero paliwanag ni Budget Undersecretary Luz Cantor sa mga mambabatas, hindi makakapaglabas ang ahensya ng malaking pondo kung hindi pa ito naaprubahan ng Office of the President.","But Budget Undersecretary Luz Cantor explains lawmakers, the big fund agency can not be released if the Office of the President has not been approved."
"Gayunman, tumanggi si BJMP officer-in-charge, Jail Chief Supt. Allan Iral na pangalanan ang dalawang personnel dahil si Interior Secretary Eduardo Ano umano ang magdedesisyon sa magiging kapalaran ng dalawang personnel.","However, Bjmp officer-in-charge, Jail Chief Supt. Allan IRAL Name Two Personnel Because Interior Secretary Eduardo What To Decide on the Fate of Two Personnel."
"Ito ayon kay Engr. Edgardo Cabarrios, direktor ng NTC ay upang malaman kung sinusunod ng mga cellphone company ang naipapangakong bilis ng internet gaya ng kanilang mga commercials kumpara sa naibibigay na serbisyo sa kanilang mga kliyente.","This according to Engr. Edgardo Cabarrios, Director of the NTC is to find out if the cellphone company follows the accused speed of the Internet as their commercials compared to the service provided to their clients."
Ito ay matapos ibasura ng Fifth Division ang mosyon na inihain ng kampo ni Estrada na humiling ng three-hour furlough--mula 8:00 hanggang 11:00 ng gabi sa proclamation rally ni Janella.,This is after the Fifth Division dismissed the motion filed by Estrada's camp to request three-hour furlough - from 8:00 to 11:00 pm Janella's proclamation rally.
"""Dapat natalakay na nitong Lunes ang badyet ng DENR ngunit hindi masimulan dahil wala ang kalihim kaya hindi naisalang sa deliberasyon ng Senado,"" pahayag ni Zubiri nitong Martes.","""It should have discussed Monday the DENR budget but can not be started because there is no secretary of the Senate's deliberation,"" Zubiri said this Tuesday."
"Ayon sa Comelec, 5.86 porsiyento pa lamang ng 52.2 million registered voters sa 2016 ang may biometrics.","According to the Comelec, 5.86 percent of 52.2 million registered voters in 2016 have biometrics."
"MANILA, Philippines - Nanguna si Liberal Party (LP) vice presidential candidate Leni Robredo sa survey na ginawa ng University of the Philippines-Manila kamakailan.","Manila, Philippines - Liberal Party (LP) Vice Presidential Candidate Leni Robredo led the survey made by the University of the Philippines-Manila recently."
"Sugatan naman sa pag-atake sina 2Lt. Ricky Organista, Pfc. Christopher Jimino, Private Ryan Cubilanis at Private Martin Mangantang, pawang miyembro ng 64th Infantry Battalion.","2LT is wounded to attack. Ricky organista, PFC. Christopher Jimino, Private Ryan Cubilanis and Private Martin Stand, all members of the 64th Infantry Battalion."
"""He is very strict. Albayalde is the man for you. The stricter the better,"" dagdag niya.","""He is very strict. Albayalde is the man for you. The Stricter the Better,"" he added."
"""To the extent they commit cyber crimes, the DICT takes over,"" aniya.","""To the extent they commit cyber crimes, the DICT takes over,"" aniya. "
"Ito ang resulta sa isinagawang imbestigasyon ng National Bureau of Investigation kaugnay sa pagkamatay ni Trinidad Etong, asawa ng sikat na brodkaster na si Ted Failon.","This is the result of the investigation of the National Bureau of Investigation in relation to the death of Trinidad etong, spouse of famous brodkaster Ted Failon."
"Ayon sa SC, ayaw nilang ""palawigin"" pa ang interpretasyon nila sa Konstitusyon bagaman naniniwala ang Hudikatura na dapat ay pantay ang representasyon ang dalawang kapulungan ng Kongreso.","According to SC, they do not want to ""extend"" their interpretation of the Constitution although the judiciary believes that the representation should equal the two councils."
"Gayundin si Sen. Joel Villanueva, ay nabahala sa epekto nito sa BPO sector na isa umanong $25-billion industry sa loob ng Pilipinas.","Sen. Joel Villanueva, is concerned with its effect on the BPO sector that one of the $ 25-billion industry within the Philippines."
"Dismayado din umano ang senadora sa nakabinbing pagpapagawa ng mga kubeta sa Brgy. 649, Baseco Compound sa Tondo. May 500 kubeta ang itatayo rito sa loob ng tatlong taon.","The senator was also disappointed with the pending of the closets of the closets in Brgy. 649, Baseco compound in Tondo. There are 500 closets to be built here for three years."
Isang thanksgiving mass naman ang inihanda ng pamilya Estrada sa Pinaglabanan shrine sa San Juan City.,A Thanksgiving Mass has prepared the Estrada family in the fight shrine in San Juan City.
"Sinabi ni Sec. Panelo, batid ng mga abogado na kapag acquittal ang desisyon ng hukuman ay hindi na ito puwedeng iapela tulad ng nais mangyari ni Ombudsman Morales.","Sec. Panelo, lawyers know that when acquittal judicial decision is no longer appealed as Ombudsman Morales wants."
Wag patulan,Wagper.
"MANILA, Philippines -- Unang-una sa lahat, Happy Chinese New Year sa ating lahat kahit walang naman tayong lahing Tsino at likas lang sa ating mga Pilipino ang makiuso.","Manila, Philippines - First of all, Happy Chinese New Year in all of us even if we do not have any Chinese people and only in our Filipinos."
"Naunang inihayag ng Pangulo na makakatanggap ang OP employees ng nakagawiang P30,000 bonus at dagdag na P10,000.","The President earlier announced that the OP employees will receive a routine P30,000 bonus and additional P10,000."
Leyte,Leyte.
"Sa ulat ng GMA News TV's Balitanghali nitong Sabado, sinabing malutong at maanghang ang tinatawag na ""chichaworm.""","In the report of GMA News TV's Balitanghali on Saturday, said the so-called ""Chichaworm."""
Iniulat ng Kyodo news agency na ang mga namatay ay nasa edad 18 hanggang 70 at kinabibilangan ng siyam na lalaki at 10 babae.,The Kyodo News Agency reported that the dead were 18 to 70 and included nine men and 10 women.
Ang kalaguyo umano at anak ng nasabing opisyal ang siyang sangkot sa krimen dahil sa utang na ipinahiram umano ng naturang government official sa aktres.,The lover and son of the said officer are involved in the crime due to the debt lent of such government official to actress.
"Samantala, kanselado na ang klase ng mga estudyante sa bahagi ng university belt ng Claro M. Recto at maging sa malapit sa Luneta.","Meanwhile, students' classes cancel in part of the University belt of Claro M. Recto and even near the Luneta."
"Ayon kay PAGASA weather forecaster Alvin Pura, ang LPA na nasa gawing Easten Visayas at Mindanao ay malayo pa at hindi pa gaanong nakakaapekto sa anumang bahagi ng ating bansa.","According to Pagasa Weather Forecaster Alvin Pura, the LPA who is in Easten Visayas and Mindanao is far away and has not yet affected any part of our country."
Nilinaw naman ni Gonzales na hindi niya sinasabing may nagaganap nang sabwatan laban sa BBL.,Gonzales clarified that he did not say that there was a conspiracy against the BBL.
"Subalit ang isinagot ng DA chief, wala naman talagang shortage dahil may sapat na produksyon ng pagkain.","But the da chief answered, there is no shortage because there is enough food production."
Tungkulin ng mga ahente na magmanman sa mga dumarating na dayuhan at tumulong sa mga immigration officers na magsagawa ng inspeksyon.,It is the duty of agents to monitor future aliens and assist immigration officers to conduct inspection.
Ngunit nilinaw ni Escueta na nagtungo umano si Puno hindi para buksan at pasukin ang opisina ni Robredo ngunit upang ipakandado at i-secure ito base umano sa utos ni Pangulong Aquino.,But Escueta clarified that tree was not to open and enter the office of Robredo but to set it up and secure it based on President Aquino's command.
"Sumakay umano sila ng light rail transit (LRT) at nagtungo sa isang restaurant sa Caloocan kung saan kumain at nag-inuman pa ng beer at doon ay tatlo pang babaeng suspek ang dumating at naki-join sa kanila. Hanggang sa hindi na namalayan ng biktima ang mga pangyayari dahil sa pagkahilo at nang bumalik ang ulirat ay bumibiyahe na siya sakay ng taxi, at saka niya naalala na itinutulak siya papasok sa isang taxi ng mga suspek kaya siya naroroon.","They rode a light rail transit (LRT) and went to a restaurant in Caloocan where to eat and drink beer and there were three more female suspects came and joined them. Until the victim did not realize the events because of the dizziness and returning tranquility he traveled to a taxi, and then remembered that he was pushing to enter a taxi of suspects so he was there."
Naglaan na ng P82.5 milyong pondo ang Department of Budget and Management upang mapigilan ang pagkalat nito. Gagastusin ito sa sumusunod na paraan:,The Department of Budget and Management has already provided P82.5 million funds to prevent its spread. Spend it in the following way:
"Sa reklamo ni Anna Marie Macarubbo, dumanas siya ng pananakit ng katawan at nagkasugat matapos ""hilahin"" ni Andaya ang kanyang (provincial) ID kaya halos ""nasakal"" siya habang sinisigawan sila ng ""Alis, Alis!""","In the complaint of Anna Marie Macarubbo, she suffered from body pain and offered after ""pull"" And Andaya's ""Provincial) ID so almost"" kissed ""her while she was shouting"" departure, departure! """
"Isang hinihinalang drug pusher ang napatay makaraang manlaban sa mga pulis na magsisilbi sana ng warrant of arrest sa kanyang mga ka-pot session sa Tondo, Maynila, kamakalawa ng hapon.","A suspected drug pusher was killed after the rulers of the police who would serve a warrant of arrest in his Pot sessions in Tondo, Manila, afternoon."
"""They are vestiges of neocolonial control of the US, a tool for direct intervention in the country, facilitating for instance the return of their basing facilities, interference in the counterinsurgency operations,"" dagdag ng militanteng mambabatas.","""They Are Vestiges of Neocolonial Control of the US, A Tool for Direct Intervention In The Country, Facilitating For Instance The Return of Their Basing Facilities, Interference in the Counterinsurgency Operations,"" added militant legislator."
Si Eliseo dela Paz ay pinayagang manatili sa Makati Medical Center mula Disyembre 2 hanggang Disyembre 9.,Eliseo Dela Paz was allowed to stay at the Makati Medical Center from December 2 to December 9.
Dakong 4:00 p.m. nitong Huwebes nang huli raw makita ang biktima na nanood ng telebisyon sa kapitbahay.,At 4:00 p.m. On Thursday late to see the victim watching the neighbors television.
"Sinabi ni Ahmet Uzumcu, pinuno ng Organisation for the Prohibition of Chemical Weapons, na nakahanap ang kanilang fact-finding teams ng ebidensiya na gumamit ng sulphur mustard ang IS sa mga pag-atake sa dalawang bansa. Hinimok niya ang mga bansa na magbantay laban sa anumang chemical attacks sa labas ng Syria at Iraq.","Ahmet Uzumcu, head of the organization for the prohibition of chemical weapons, said their fact-finding teams found evidence to use Sulfur Mustard in attacks on two countries. He urged countries to watch against any chemical attacks outside of Syria and Iraq."
"Mahigit 20,000 sundalo ang inatasan upang magsagawa ng rescue at relief operation sa mga lugar na lubhang naapektuhan. Kabilang sa mga lugar na lubhang napinsala ay ang hilagang bahagi ng Mindanao at mga pangunahing daungan sa Cagayan de Oro City at Illigan city.","More than 20,000 soldiers are assigned to conduct rescue and relief operation in areas greatly affected. Among the areas that are very damaged are the northern part of Mindanao and major ports in Cagayan de Oro City and Illigan City."
"MANILA, Philippines - Tiniyak ng pamahalaang Estados Unidos na kanilang ihaharap sa korte ang akusado sa pagpatay kay Jeffrey ""Jennifer"" Laude na si US Marine Pfc. Joseph Scott Pemberton.","Manila, Philippines - The United States Government assured that they would present the accused of killing Jeffrey ""Jennifer"" Laude US Marine PFC. Joseph Scott Pemberton."
"Sa talaan ng Philippine National Railways (PNR), umabot na sa 181 ang aksidenteng naganap sa riles nito sa loob pa lamang ng unang anim na buwan ng 2013. Alam niyo ba kung ilan ang railroad crossing ng PNR magmula Maynila hanggang Bicol?","In the list of Philippine National Railways (PNR), reached 181 accidents that took place in its railway for the first six months of 2013. Do you know how many Railroad Crossing of PNR comes from Manila to Bicol?"
Sumasaklolo lamang umano si Andaya sa mga magsasakang sapilitang ibinebenta ang mga lupa sa halagang P8 kada square meter.,Andaya only wrote to the peasants forced to sell the land for P8 per square meter.
"Sa isang pulong balitaan sa Quezon City kahapon, ibinunyag ng EcoWaste Coalition na maaaring makasama sa kalusugan ng mga estudyante ang ilang school supplies na ipinagbibili sa merkado dahil sa nakalalasong kemikal na taglay ng mga ito.","At a meeting news in Quezon City yesterday, Ecowaste Coalition revealed that some school supplies may be with the health supplies that are sold in the market because of the toxic chemicals they have."
"With much respect to the Celtics faithful, this is simply my two cents' opinion.","With Much Respect To The Celtics Faithful, This Is Simply My Two Cents' Opinion."
"""I just like to inform our friends from the media that around 11:00 in the morning, the parents of hazing victim, Horacio Castillo III came here at the Manila Police District. Number one to confer with us regarding the status of the investigation of the case. The parents, Mr. Horacio Castillo and his wife also would like to speak with the suspect, John Paul Solano,"" ani Coronel.","""I Just Like to Inform Our Friends From The Media That Around 11:00 In The Morning, The Parents Of Hazing Victim, Horacio Castillo III Came Here at The Manila Police District. Number One To Confer With Us Regarding The Status of the Investigation The Case. The Parents, Mr. Horacio Castillo And His Wife Also Would Like To Speak With The Suspect, John Paul Solano, ""said Coronel."
Sa Miyerkules ang huling sesyon ng Kongreso ngayong taon.,On Wednesday the last session of Congress this year.
Nananatili pa ring nasa ospital ang 45 biktima sa Western Visayas Sanitarium Hospital sa Sta. Barabara kung saan sila patuloy na inoobserbahan. Nakalabas na sa ospital ang dalawang iba pa.,The 45 victims in the Western Visayas Sanitarium Hospital in Sta. Barabara where they continue to be observed. Two others are exposed to the hospital.
"Kasama ang iba pang lokal na opisyal, iniharap ni Istarul ang mga sumukong miyembro ng Abu Sayyaf militar at pulisya, na kasama ring isinuko ang kani-kanilang baril.","Along with other local officials, IstaRul presented the convex members of the Abu Sayyaf military and police, which also gave up their guns."
"Na-admit ang Chinese kauban ang duha pa sa San Lazaro Hospital niadtong Lunes, January 27, human kini nagpakita ug sintomas nga hilanat.","The Chinese Caban has been admitted to the San Lazaro Hospital Hospital Monday, January 27, Human Kini showed no symptoms."
"Sumunod na naaresto ang most wanted person na si Delilah Padilla ng Southern Front, Komiteng Rehiyon, Cagayan Valley na may pabuyang P700,000 sa bisa ng apat na warrant of arrest sa mga kasong murder, direct assault with murder, frustrated homecide at robbery in band dakong alas-8:00 ng gabi ng parehong araw sa Tuguegarao City.","The Most Wanted Person Delilah Padilla of the Southern Front, Region Committee, Cagayan Valley, has been arrested in P700,000 in the validity of the four warrant of arrest in murder cases, direct assault with murder, frustrated homecide and robbery in band At 8:00 pm the same day at Tuguegarao City."
"Inihayag ito ng dating pangulo matapos dumalo sa ""March and Mass for Truth"" na isinagawa ng oposisyon sa Makati City nitong Huwebes ng hapon.","The former President announced it after attending the ""March and Mass for Truth"" conducted by the opposition in Makati City on Thursday afternoon."
This page requires a higher version browser,This Page Requires a Higher Version Browser
Maaga aniyang isinapubliko ng ICC ang preliminary examination na lumikha ng impresyon na kakasuhan siya dahil sa maramihang pagpatay sa ilalim ng kanyang hurisdiksiyon.,The ICC is early in the Preliminary Examination to create the impression that he will be charged because of the masses under his jurisdiction.
Ito ay sa pamamagitan ng walong pahinang mosyon na isinumite ng Tiger Resorts kung saan hiniling nila na dumistansya sa reklamo si Catalan na kasalukuyang pinuno ng National Prosecution Service.,It is through the eight-page motion submitted by Tiger Resorts where they asked Catalan to complain to the current head of the National Prosecution Service.
"Mahusay na ipinaliwanag ni UP-graduate Aric Topacio, pangulo ng AFAD, at ni vice-president EJ Ano ang mga mahahalagang papel ng AFAD sa komunidad.","Up-Graduate Aric Topacio, President of AFAD, and Vice-President EJ, well explained What are the important roles of AFAD in the community."
"Nakasaad sa reklamo na ipinadala ng ""concerned citizens' sa ombproper@ ombudsman.gov.ph at naka-address kay Ombudsman Merceditas Gutierrez na lumabag umano si Barias sa Republic Act 6713-Code of Conduct and Ethical Standards for Public Officials and Employees at Republic Act 3019-Anti Graft and Corrupt Practices Act nang tanggapin nito ang imbitasyon ng Rohde and Schwarz, isang electronics specialist company sa Munich, Germany.","The complaint sent by the ""Concerned Citizens' sent by the Ombudsman.gov.ph and was addressed to Ombudsman Mercedas Gutierrez who violated Barias in Republic Act 6713-Code of Conduct and Ethical Standards for Public Officials and Employees and Republic Act 3019-ANTI GRAFT AND CORRUPT PRACTICES ACT When it accepts the invitation of Rohde and Schwarz, an Electronics Specialist Company in Munich, Germany."
"Ani Land Transportation Office regional director, Lawyer Aminola Abaton, kasalukuyan na umanong pinaplantsa ang criteria sa gagawing pagbabago sa paglalabas ng driver's license.","Land Transportation Office Regional Director, Lawyer Aminola Abaton, is currently being filed by the criteria to make the change in the release of Driver's License."
Ang Couriers ay sariwa pa sa morale-boosting na 97-88 overtime panalo kontra Mindanao Agilas noong Martes.,The couriers are still fresh in morale-boosting 97-88 overtime wins against Mindanao Agilas on Tuesday.
"Aniya, mas imposible na magkaroon ng malaking kayamanan si Garcia nang hindi nalalaman ng mas nakatataas sa kanya.",He said that Garcia was more impossible to have great wealth without being more senior to him.
"Sinabi ni Tolentino na nasa 44 bus ang naharang ng pulisya bandang alas-4 ng hapon sa Occidental Mindoro at Oriental Mindoro kung saan 22 sa nasabing mga bus ay inimpound sa compound ng Occidental Mindoro Police Provincial Office sa bayan ng San Jose, ng lalawigan.","Tolentino said that at 44 bus was blocked by the police at 4 pm at Occidental Mindoro and Oriental Mindoro where 22 of the buses were injured in the compound of the Occidental Mindoro Police Provincial Office in the town of San Jose, the province."
"Hindi dumalo si Deguito sa pagdinig dahil na rin sa karamdaman, ayon sa kanyang abogado.","Deguit is not attending at the hearing because of the illness, according to his lawyer."
Binanggit ni Romualdez ang ulat ng World Bank na ang CCT sa Pilipinas ay isa sa pinakamatatagumpay na programa sa cash transfer sa buong mundo.,Romualdez mentions the World Bank report that CCT in the Philippines is one of the most successful cash transfer programs around the world.
"Sinabi ni Castelo, mabibili ang mga Noche Buena item na mas mababa ng sampung porsyento ang presyo sa mga nasabing lugar.","Castelo said, noche buena items are available less than ten percent of the price in such areas."
"Una rito, inako ng Pangulo ang full responsibility sa misencounter sa Sta. Rita, Samar kung saan anim na pulis ang namatay habang siyam ang nasugatan.","First of all, the President took full responsibility in the misencounter in Sta. Rita, Samar where six police died while nine were injured."
"Bukod pa dito, ayon kay LTO Chief Edgar Galvante, pinagmulta rin nila si Interior ng P10,000 dahil sa pagmamaneho ng hindi rehistradong sasakyan.","In addition, LTO Chief Edgar Galvante said they also fined the interior of P10,000 due to a non-registered vehicle driving."
Ang pinakahuling rekord ng Pilipinas pagdating sa ranking ng media killings ay ipinalabas sa pamamagitan ng Freedom Fund for Filipino Journalists at Southeast Asia Press Alliance.,The latest record of the Philippines when it comes to ranking of media killings is released by Freedom Fund for Filipino journalists and Southeast Asia Press Alliance.
"Dahil sa tuloy-tuloy na pagtaas ng bilang ng mga hinihinalang dinapuan ng nasabing virus, iniutos ng pamumuan ng barangay na paigtingin pa ang paglilinis sa kapaligiran. Bukod dito, patuloy din ang paghahanap sa maaaring maging lunas sa nasabing sakit.","Due to the continuous increase of the number of suspects of the virus, the leader of the barangay has been ordered to intensify the environmental cleaning. Additionally, searches can also be relief in such illness."
"Ayon sa isang whistleblower, ginamit umano ni Trump ang $400 milyong military aid sa Ukraine para gipitin si Zelensky. Ang nasabing ayudad ay sinuspinde noong Hulyo subalit binigay din noong Setyembre matapos ang pag-uusap ng dalawang lider noong Agosto.","According to a whistleblower, Trump used $ 400 million military aid in Ukraine to harness Zelensky. Such a suspended was suspended in July but also provided in September after the conversation of the two leaders in August."
"Ayon kay Tan, anim sa mga Abu Sayyaf ang napatay at hindi madetermina ang nasugatan sa bakbakan. Sa panig ng pamahalaan, 14 na sundalo ang nasugatan, ani Tan.","According to Tan, six of the Abu Sayyaf were killed and not determined to be injured in the fight. On the side of the government, 14 soldiers were injured, said Tan."
Samantalang kinukuha pa rin ng GMA News ang panig ni Pacquiao.,While GMA News still takes Pacquiao's side.
"Dagdag pa niya, nakapagpundar na ng bahay si Avancena sa Davao City.",He added that AvanCena has developed a home in Davao City.
Ito ayon kay DA Secretary Manny Pinol ay upang makapagsimulang muli at makabangon mula sa pagkakalugi ang mga poultry farm owners na nasalanta ng bird flu ang mga alagaing hayop.,This according to Da Secretary Manny Pinol is to begin again and get up from the baptism of the poultry farm owners who are poultry flooded by animals.
"Ani Dr. Roy Mejorada, in-house veterinarian ng SECPC, may mga documented case na nagpapakita na posibleng pang-aabuso ng tao ang ikinamatay ng mga pawikan.","Said Dr. Roy Mejorada, SECPC's in-house veterinarian, has documented cases showing that possible human abuse are killed by turtles."
Magugunita na ilang segundo pa lang ang nakakalipas nang umangat ang six-seater Piper PA-23 Aztec ng Lite Air Express nang sumabit ito sa puno at poste bago bumagsak sa isang bahay sa Barangay Lumang Bayan.,The six-seater Piper Piper Pa-23 Aztec was still reconciled for a few seconds.
Inaasahang aabot sa 10 porsiyento ang matitipid kung magbabawas umano sa convoy ang mga opisyal ng Palasyo.,It is expected to reach 10 percent savings if the palace officials will be reduced to the convoy.
"Sabi ni Binay, dapat maging maingat ang Bureau of Corrections (BuCor) at Bureau of Jail Management and Penology (BJMP) sa pagkuwenta ng GCTA dahil posibleng may mapalayang bilanggo kahit hindi naman pasok sa RA 10592.","Binay said, should be careful the Bureau of Corrections (BuCor) and the Bureau of Jail Management and Penology (BJMP) in computing the GCTA is possible even with mapalayang prisoners not enter the RA 10592."
Dinala si Luna sa San Jose District Hospital upang alisin ang bala sa kaniyang hita. Hindi naman naapektuhan ang kaniyang ipinagbubuntis.,Luna was taken to the San Jose District Hospital to remove the bullet in his thigh. He did not affect his pregnancy.
"Sa ikalawang Manyaman Food Festival, hindi lang ang mga Pinoy ang nakipagsiksikan dito kundi pati na ang mga mamamayan ng Belgium.","In the second food food food food, not just the Filipinos have been imprisoned here but also the citizens of Belgium."
"Gayunman,pinalaya ang mga Koreano na dinala sa BI main office matapos na magbigay ng halagang P9.2 milyon.","However, the Koreans were released to the BI Main Office after giving P9.2 million."
Una nang isiniwalat ng whistleblowers na naging kasangkapan si Tuason sa pagtanggap ng kickback ng ilang senador.,The whistleblowers first revealed that Tuason became a tool for receiving a kickback of some senators.
"Ayon kay NCRPO Director Major General Guillermo Eleazar, nasa 14,000 pulis ang ipakakalat upang tiyakin ang seguridad ng publiko sa pagsasagawa ng SONA.","According to NCRPO Director Major General Guillermo Eleazar, 14,000 police will be scattered to ensure public security in the conduct of the SONA."
"Positibo ang reaksyon dito ng mga netizens dahil sa pamamagitan nga ng nasabing FB page, hindi na magwo-worry ang mga driver sa pagbabayad ng cancelled orders at hindi na rin nahirapan sa pag-place ng order ang mga nais magpabili ng pagkain.","The reaction of the netizens is positively because of the said FB page, drivers will not work on the payment of canceled orders and do not have difficulty placing the place to place the order."
Matatandaan na napaulat na sumabog sa hagdanan sa pagitan ng 7th at 8th floor ng LTA Building na pagmamay-ari ni Atty. Mike noong 2003 ang nasa P70 milyon cash na pinaniniwalaang 'padulas' sa P1.4 bilyong road project sa Edsa.,Recall reported to explode on the stairs between the 7th and 8th floor of LTA Building belonging to Atty. Mike in 2003 is at P70 Million Cash believed to be 'Salit' at P1.4 billion Road Project in EDSA.
